Brew_ID,Name,City,State,Latitude,Longitude
302,Old Forge Brewing Company,Danville, PA,40.96342,-76.6127329
303,Utah Brewers Cooperative,Salt Lake City, UT,40.7607793,-111.8910474
304,Magic Hat Brewing Company,South Burlington, VT,44.4669941,-73.1709604
305,Blue Hills Brewery,Canton, MA,42.1584324,-71.1447732
306,Night Shift Brewing,Everett, MA,42.40843,-71.0536625
307,Beach Brewing Company,Virginia Beach, VA,36.8529263,-75.977985
308,Payette Brewing Company,Garden City, ID,43.6221108,-116.2381744
309,Brew Bus Brewing,Tampa, FL,27.950575,-82.4571776
310,Sockeye Brewing Company,Boise, ID,43.6150186,-116.2023137
311,Pine Street Brewery,San Francisco, CA,37.7749295,-122.4194155
312,Dirty Bucket Brewing Company,Woodinville, WA,47.7542651,-122.1634581
313,Jackalope Brewing Company,Nashville, TN,36.1626638,-86.7816016
314,Slanted Rock Brewing Company,Meridian, ID,43.6121087,-116.3915131
315,Piney River Brewing Company,Bucryus, MO,37.3442143,-92.0168233
316,Cutters Brewing Company,Avon, IN,39.7628227,-86.3997167
317,Iron Hill Brewery & Restaurant,Wilmington, DE,39.744655,-75.5483909
318,Marshall Wharf Brewing Company,Belfast, ME,44.4259092,-69.0064234
319,Banner Beer Company,Williamsburg, MA,42.3928305,-72.7300929
320,Dick's Brewing Company,Centralia, WA,46.7162136,-122.9542972
321,Claremont Craft Ales,Claremont, CA,34.0966764,-117.7197785
322,Rivertown Brewing Company,Lockland, OH,39.2292249,-84.4577201
323,Voodoo Brewery,Meadville, PA,41.6414438,-80.1514484
324,D.L. Geary Brewing Company,Portland, ME,43.6590993,-70.2568189
325,Pisgah Brewing Company,Black Mountain, NC,35.6178951,-82.3212302
326,Neshaminy Creek Brewing Company,Croydon, PA,40.0873329,-74.9034996
327,Morgan Street Brewery,Saint Louis, MO,38.6270025,-90.1994042
328,Half Acre Beer Company,Chicago, IL,41.8781136,-87.6297982
329,The Just Beer Project,Burlington, VT,44.4758825,-73.212072
330,The Bronx Brewery,Bronx, NY,40.8447819,-73.8648268
331,Dead Armadillo Craft Brewing,Tulsa, OK,36.1539816,-95.992775
332,Catawba Brewing Company,Morganton, NC,35.7454071,-81.6848188
333,La Cumbre Brewing Company,Albuquerque, NM,35.0843859,-106.650422
334,David's Ale Works,Diamond Springs, CA,38.6946259,-120.8149355
335,The Traveler Beer Company,Burlington, VT,44.4758825,-73.212072
336,Fargo Brewing Company,Fargo, ND,46.8771863,-96.7898034
337,Big Sky Brewing Company,Missoula, MT,46.8721284,-113.9940314
338,Nebraska Brewing Company,Papillion, NE,41.1544432,-96.0422378
339,Uncle John's Fruit House Winery,St. John's, MI,43.001143,-84.5591521
340,Wormtown Brewery,Worcester, MA,42.2625932,-71.8022934
341,Due South Brewing Company,Boynton Beach, FL,26.5317866,-80.0905465
342,Palisade Brewing Company,Palisade, CO,39.1102587,-108.3509193
343,KelSo Beer Company,Brooklyn, NY,40.6781784,-73.9441579
344,Hardywood Park Craft Brewery,Richmond, VA,37.5407246,-77.4360481
345,Wolf Hills Brewing Company,Abingdon, VA,36.7098335,-81.9773482
346,Lavery Brewing Company,Erie, PA,42.1292241,-80.085059
347,Manzanita Brewing Company,Santee, CA,32.8383828,-116.9739167
348,Fullsteam Brewery,Durham, NC,35.9940329,-78.898619
349,Four Horsemen Brewing Company,South Bend, IN,41.6763545,-86.2519898
350,Hinterland Brewery,Green Bay, WI,44.5133188,-88.0132958
351,Central Coast Brewing Company,San Luis Obispo, CA,35.2827524,-120.6596156
352,Westfield River Brewing Company,Westfield, MA,42.1250929,-72.749538
353,Elevator Brewing Company,Columbus, OH,39.9611755,-82.9987942
354,Aslan Brewing Company,Bellingham, WA,48.7519112,-122.4786854
355,Kulshan Brewery,Bellingham, WA,48.7519112,-122.4786854
356,Pikes Peak Brewing Company,Monument, CO,39.0916586,-104.872758
357,Manayunk Brewing Company,Philadelphia, PA,39.9525839,-75.1652215
358,Buckeye Brewing,Cleveland, OH,41.49932,-81.6943605
359,Daredevil Brewing Company,Shelbyville, IN,39.5214373,-85.7769238
360,NoDa Brewing Company,Charlotte, NC,35.2270869,-80.8431267
361,Aviator Brewing Company,Fuquay-Varina, NC,35.5843235,-78.8000128
362,Wild Onion Brewing Company,Lake Barrington, IL,42.2122015,-88.167149
363,Hilliard's Beer,Seattle, WA,47.6062095,-122.3320708
364,Mikkeller,Pottstown, PA,40.2453741,-75.6496302
365,Bohemian Brewery,Midvale, UT,40.6110589,-111.8999353
366,Great River Brewery,Davenport, IA,41.5236437,-90.5776367
367,Mustang Brewing Company,Mustang, OK,35.384226,-97.7244867
368,Airways Brewing Company,Kent, WA,47.3809335,-122.2348432
369,21st Amendment Brewery,San Francisco, CA,37.7749295,-122.4194155
370,Eddyline Brewery & Restaurant,Buena Vista, CO,38.8422178,-106.1311288
371,Pizza Port Brewing Company,Carlsbad, CA,33.1580933,-117.3505939
372,Sly Fox Brewing Company,Pottstown, PA,40.2453741,-75.6496302
373,Spring House Brewing Company,Conestoga, PA,39.9454909,-76.3379045
374,7venth Sun,Dunedin, FL,28.0197404,-82.7717684
375,Astoria Brewing Company,Astoria, OR,46.1878841,-123.8312534
376,Maui Brewing Company,Lahaina, HI,20.8783333,-156.6825
377,RoughTail Brewing Company,Midwest City, OK,35.4495065,-97.3967019
378,Lucette Brewing Company,Menominee, WI,44.8857792,-88.6507943
379,Bold City Brewery,Jacksonville, FL,30.3321838,-81.655651
380,Grey Sail Brewing of Rhode Island,Westerly, RI,41.3775987,-71.8272871
381,Blue Blood Brewing Company,Lincoln, NE,40.813616,-96.7025955
382,Swashbuckler Brewing Company,Manheim, PA,40.1634279,-76.3949614
383,Blue Mountain Brewery,Afton, VA,38.0323988,-78.8395137
384,Starr Hill Brewery,Crozet, VA,38.0695815,-78.700575
385,Westbrook Brewing Company,Mt. Pleasant, SC,32.8323225,-79.8284258
386,Shipyard Brewing Company,Portland, ME,43.6590993,-70.2568189
387,Revolution Brewing,Paonia, CO,38.8683204,-107.5920017
388,Natian Brewery,Portland, OR,45.5122308,-122.6587185
389,Alltech's Lexington Brewing Company,Lexington, KY,38.0405837,-84.5037164
390,Oskar Blues Brewery (North Carol...,Brevard, NC,35.2334472,-82.7342919
391,Orlison Brewing Company,Airway Heights, WA,47.644611,-117.5932727
392,Breckenridge Brewery,Denver, CO,39.7392358,-104.990251
393,Santa Fe Brewing Company,Santa Fe, NM,35.6869752,-105.937799
394,Miami Brewing Company,Miami, FL,25.7616798,-80.1917902
395,Schilling & Company,Seattle, WA,47.6062095,-122.3320708
396,Hops & Grain Brewery,Austin, TX,30.267153,-97.7430608
